time,metabolite,mass_isotopologue,fraction
5,FBP,M+4,0
5,FBP,M+5,0
5,FBP,M+6,0.242490756252278
10,FBP,M+0,0.264372718229536
10,FBP,M+1,0
10,FBP,M+2,0
10,FBP,M+3,0
10,FBP,M+4,0
10,FBP,M+5,0
10,FBP,M+6,0.735627281770464
15,FBP,M+0,0.059032836727685
15,FBP,M+1,0
15,FBP,M+2,0
15,FBP,M+3,0
15,FBP,M+4,0
15,FBP,M+5,0
15,FBP,M+6,0.940967163272315
20,FBP,M+0,0.0102043765383981
20,FBP,M+1,0
20,FBP,M+2,0
20,FBP,M+3,0
20,FBP,M+4,0
20,FBP,M+5,0
20,FBP,M+6,0.989795623461602
30,FBP,M+0,0.000205528474118419
30,FBP,M+1,0
30,FBP,M+2,0
30,FBP,M+3,0
30,FBP,M+4,0
30,FBP,M+5,0
30,FBP,M+6,0.999794471525882
40,FBP,M+0,2.31426043513499e-06
40,FBP,M+1,0
40,FBP,M+2,0
40,FBP,M+3,0
40,FBP,M+4,0
40,FBP,M+5,0
40,FBP,M+6,0.999997685739565
60,FBP,M+0,1.63687654372139e-08
60,FBP,M+1,0
60,FBP,M+2,0
60,FBP,M+3,0
60,FBP,M+4,0
60,FBP,M+5,0
60,FBP,M+6,0.999999983631235
80,FBP,M+0,7.10878265612386e-09
80,FBP,M+1,0
80,FBP,M+2,0
80,FBP,M+3,0
80,FBP,M+4,0
80,FBP,M+5,0
80,FBP,M+6,0.999999992891217
120,FBP,M+0,0
120,FBP,M+1,0
120,FBP,M+2,0
120,FBP,M+3,0
120,FBP,M+4,0
120,FBP,M+5,0
120,FBP,M+6,1
160,FBP,M+0,1.57060759019612e-13
160,FBP,M+1,0
160,FBP,M+2,0
160,FBP,M+3,0
160,FBP,M+4,0
160,FBP,M+5,0
160,FBP,M+6,0.999999999999843
0,DHAP,M+0,1
0,DHAP,M+1,0
0,DHAP,M+2,0
0,DHAP,M+3,0
1,DHAP,M+0,0.999796383948196
1,DHAP,M+1,0
1,DHAP,M+2,0
1,DHAP,M+3,0.000203616051804451
2,DHAP,M+0,0.996258275539475
2,DHAP,M+1,0
2,DHAP,M+2,0
2,DHAP,M+3,0.00374172446052514
5,DHAP,M+0,0.891347431283418
5,DHAP,M+1,0
5,DHAP,M+2,0
5,DHAP,M+3,0.108652568716582
10,DHAP,M+0,0.439813356080306
10,DHAP,M+1,0
10,DHAP,M+2,0
10,DHAP,M+3,0.560186643919694
15,DHAP,M+0,0.131803751877908
15,DHAP,M+1,0
15,DHAP,M+2,0
15,DHAP,M+3,0.868196248122092
20,DHAP,M+0,0.0289586775442232
20,DHAP,M+1,0
20,DHAP,M+2,0
20,DHAP,M+3,0.971041322455777
30,DHAP,M+0,0.000835536661464873
30,DHAP,M+1,0
30,DHAP,M+2,0
30,DHAP,M+3,0.999164463338535
40,DHAP,M+0,1.29771870838476e-05
40,DHAP,M+1,0
40,DHAP,M+2,0
40,DHAP,M+3,0.999987022812916
60,DHAP,M+0,1.06678007106707e-07
60,DHAP,M+1,0
60,DHAP,M+2,0
60,DHAP,M+3,0.999999893321993
80,DHAP,M+0,3.31087728984195e-08
80,DHAP,M+1,0
80,DHAP,M+2,0
80,DHAP,M+3,0.999999966891227
120,DHAP,M+0,0
120,DHAP,M+1,0
120,DHAP,M+2,0
120,DHAP,M+3,1
160,DHAP,M+0,0
160,DHAP,M+1,0
160,DHAP,M+2,0
160,DHAP,M+3,1
0,GAP,M+0,1
0,GAP,M+1,0
0,GAP,M+2,0
0,GAP,M+3,0
1,GAP,M+0,0.999796383948195
1,GAP,M+1,0
1,GAP,M+2,0
1,GAP,M+3,0.000203616051804451
2,GAP,M+0,0.996258275539475
2,GAP,M+1,0
2,GAP,M+2,0
2,GAP,M+3,0.00374172446052514
5,GAP,M+0,0.891347431283418
5,GAP,M+1,0
5,GAP,M+2,0
5,GAP,M+3,0.108652568716582
10,GAP,M+0,0.439813356080306
10,GAP,M+1,0
10,GAP,M+2,0
10,GAP,M+3,0.560186643919694
15,GAP,M+0,0.131803751877908
15,GAP,M+1,0
15,GAP,M+2,0
15,GAP,M+3,0.868196248122092
20,GAP,M+0,0.0289586775442232
20,GAP,M+1,0
20,GAP,M+2,0
20,GAP,M+3,0.971041322455777
30,GAP,M+0,0.000835536661464872
30,GAP,M+1,0
30,GAP,M+2,0
30,GAP,M+3,0.999164463338535
40,GAP,M+0,1.29771870838477e-05
40,GAP,M+1,0
40,GAP,M+2,0
40,GAP,M+3,0.999987022812916
60,GAP,M+0,1.06678007024818e-07
60,GAP,M+1,0
60,GAP,M+2,0
60,GAP,M+3,0.999999893321993
80,GAP,M+0,3.31087729161022e-08
80,GAP,M+1,0
80,GAP,M+2,0
80,GAP,M+3,0.999999966891227
120,GAP,M+0,0
120,GAP,M+1,0
120,GAP,M+2,0
120,GAP,M+3,1
160,GAP,M+0,0
160,GAP,M+1,0
160,GAP,M+2,0
160,GAP,M+3,1
0,BPG,M+0,1
0,BPG,M+1,0
0,BPG,M+2,0
0,BPG,M+3,0
1,BPG,M+0,0.99996561693733
1,BPG,M+1,0
1,BPG,M+2,0
